Processor,Type,Frequency (GHz),Power (W),Cores,Date,W/Ghz/core,,
Athlon XP 3200+,Barton 130nm,2.2,76.8,1,2002-05-03,34.90909091,,
Athlon 64 FX-51,SledgeHammer (130 nm),2.2,89,1,2003-09-23,40.45454545,,
Athlon 64 X2,4400,2.2,110,2,2005-05-31,25,,
Athlon 64 X2,4400,2.2,89,2,2005-05-31,20.22727273,,
Athlon 64 X2,4400,2.2,35,2,2008-04-08,7.954545455,,
Phenom II X3 700e,Heka (45 nm),2.2,65,3,2009-06-02,9.848484848,,
Athlon II 215,Regor 45 nm,2.7,65,2,2009-09-01,12.03703704,,
Athlon II X3 400e,Rana (45 nm),2.2,45,3,2009-10-20,6.818181818,,
Athlon II X4 600e,Propus (45 nm),2.2,45,4,2009-10-20,5.113636364,,
Phenom II X6 1035T,Leo (45nm),2.6,95,6,2010-05-01,6.08974359,,
Phenom X2,(45 nm),2.2,80,2,2010-09-01,18.18181818,,
E2-1800,40nm,1.7,18,2,2012-06-05,5.294117647,,
E2-2000,40nm,1.75,18,2,2013-01-01,5.142857143,,
Opteron X2150,28nm,1.9,22,4,2013-05-29,2.894736842,,
Athlon 5350,28nm,2.05,25,4,2014-04-09,3.048780488,,
Athlon 5370,28nm,2.2,25,4,2016-02-01,2.840909091,,
Opteron X2170,28nm,2.4,25,4,2016-09-01,2.604166667,,
Ryzen 3 1200,Zen (14 nm),3.1,65,4,2017-07-27,5.241935484,,
Ryzen 3 2200G,Zen 14nm,3.5,65,4,2018-02-12,4.642857143,,
Ryzen 7 PRO 2700,Zen (12 nm),3.2,65,8,2018-09-06,2.5390625,,
Ryzen 7 3700X,Zen 3 (7 nm),3.6,65,8,2019-07-07,2.256944444,,
Ryzen 3 4300U,Zen 2 (7 nm),2.7,15,4,2020-01-06,1.388888889,,
Ryzen7 3800X,Zen 2 (7 nm),3.9,105,8,2020-07-07,3.365384615,,
Ryzen 3 5400U,Zen 3 (7 nm),2.6,15,4,2021-01-12,1.442307692,,
